Date,9202.T,9201.T
2021-03-07 00:00:00+09:00,2439.5888671875,2306.498291015625
2021-03-08 00:00:00+09:00,2438.142578125,2295.457763671875
2021-03-09 00:00:00+09:00,2525.87353515625,2315.6982421875
2021-03-10 00:00:00+09:00,2502.73583984375,2304.657958984375
2021-03-11 00:00:00+09:00,2480.56201171875,2283.497314453125
2021-03-12 00:00:00+09:00,2492.130859375,2304.657958984375
2021-03-13 00:00:00+09:00,2492.130859375,2304.657958984375
2021-03-14 00:00:00+09:00,2492.130859375,2304.657958984375
2021-03-15 00:00:00+09:00,2602.517333984375,2392.06005859375
2021-03-16 00:00:00+09:00,2663.736083984375,2484.0625
2021-03-17 00:00:00+09:00,2632.8857421875,2456.461669921875
2021-03-18 00:00:00+09:00,2667.59228515625,2492.3427734375
2021-03-19 00:00:00+09:00,2702.299072265625,2500.622802734375
2021-03-20 00:00:00+09:00,2702.299072265625,2500.622802734375
2021-03-21 00:00:00+09:00,2702.299072265625,2500.622802734375
2021-03-22 00:00:00+09:00,2704.709228515625,2525.463623046875
2021-03-23 00:00:00+09:00,2559.1337890625,2366.299560546875
2021-03-24 00:00:00+09:00,2374.513916015625,2182.295166015625
2021-03-25 00:00:00+09:00,2416.451171875,2226.456298828125
2021-03-26 00:00:00+09:00,2471.4033203125,2262.336669921875
2021-03-27 00:00:00+09:00,2471.4033203125,2262.336669921875
2021-03-28 00:00:00+09:00,2471.4033203125,2262.336669921875
2021-03-29 00:00:00+09:00,2414.52294921875,2221.855712890625
2021-03-30 00:00:00+09:00,2498.87939453125,2277.977294921875
2021-03-31 00:00:00+09:00,2479.597900390625,2272.457275390625
2021-04-01 00:00:00+09:00,2415.005126953125,2218.17578125
2021-04-02 00:00:00+09:00,2430.43017578125,2231.055908203125
2021-04-03 00:00:00+09:00,2430.43017578125,2231.055908203125
2021-04-04 00:00:00+09:00,2430.43017578125,2231.055908203125
2021-04-05 00:00:00+09:00,2487.310546875,2266.93701171875
2021-04-06 00:00:00+09:00,2429.9482421875,2211.735595703125
2021-04-07 00:00:00+09:00,2423.681640625,2232.896484375
2021-04-08 00:00:00+09:00,2354.750244140625,2160.21435546875
2021-04-09 00:00:00+09:00,2370.175537109375,2151.013916015625
2021-04-10 00:00:00+09:00,2370.175537109375,2151.013916015625
2021-04-11 00:00:00+09:00,2370.175537109375,2151.013916015625
2021-04-12 00:00:00+09:00,2373.5498046875,2138.133544921875
2021-04-13 00:00:00+09:00,2337.879150390625,2085.6923828125
2021-04-14 00:00:00+09:00,2311.84912109375,2070.052001953125
2021-04-15 00:00:00+09:00,2347.519775390625,2086.612548828125
2021-04-16 00:00:00+09:00,2371.1396484375,2103.1728515625
2021-04-17 00:00:00+09:00,2371.1396484375,2103.1728515625
2021-04-18 00:00:00+09:00,2371.1396484375,2103.1728515625
2021-04-19 00:00:00+09:00,2284.85498046875,2026.8111572265625
2021-04-20 00:00:00+09:00,2232.31298828125,1965.169189453125
2021-04-21 00:00:00+09:00,2223.154296875,1978.049560546875
2021-04-22 00:00:00+09:00,2209.6572265625,1980.809814453125
2021-04-23 00:00:00+09:00,2284.373046875,2024.970947265625
2021-04-24 00:00:00+09:00,2284.373046875,2024.970947265625
2021-04-25 00:00:00+09:00,2284.373046875,2024.970947265625
2021-04-26 00:00:00+09:00,2416.451171875,2117.8935546875
2021-04-27 00:00:00+09:00,2412.11279296875,2118.8134765625
2021-04-28 00:00:00+09:00,2388.010986328125,2108.693115234375
2021-04-29 00:00:00+09:00,2388.010986328125,2108.693115234375
2021-04-30 00:00:00+09:00,2415.005126953125,2135.373779296875
2021-05-01 00:00:00+09:00,2415.005126953125,2135.373779296875
2021-05-02 00:00:00+09:00,2415.005126953125,2135.373779296875
2021-05-03 00:00:00+09:00,2415.005126953125,2135.373779296875
2021-05-04 00:00:00+09:00,2415.005126953125,2135.373779296875
2021-05-05 00:00:00+09:00,2415.005126953125,2135.373779296875
2021-05-06 00:00:00+09:00,2444.891357421875,2106.85302734375
2021-05-07 00:00:00+09:00,2482.97216796875,2138.133544921875
2021-05-08 00:00:00+09:00,2482.97216796875,2138.133544921875
2021-05-09 00:00:00+09:00,2482.97216796875,2138.133544921875
2021-05-10 00:00:00+09:00,2475.74169921875,2131.69384765625
